first_name,last_name,post_nominal_initials,affiliation_primary,affiliation_2,affiliation_4,strategic_advisory_cmt,cihr_study,study_team,web_bio,affiliation_3,ORCID
Doug,Manuel,"MD, MSc, FRCPC",Ottawa Hospital Research Institute,University of Ottawa,NA,POPCORN Principal invesgitor,Nominated principal investigator,active,https://www.ohri.ca/profile/DougManuelLab/profile,Bruyère Health Research Institute,0000-0003-0912-0845
Oliver,Mytton,"MD, MPH",University College London,NA,NA,POPCORN Principal invesgitor,Co-principal investigator,active,https://profiles.ucl.ac.uk/88901-oliver-mytton,NA,0000-0003-3218-9912
Tony,Blakely,PhD,University of Melbourne,NA,NA,SAC Chair,NA,NA,https://findanexpert.unimelb.edu.au/profile/773939-tony-blakely,NA,0000-0002-6995-4369
Adam,Briggs,NA,The Health Foundation,NA,NA,NA,NA,NA,https://www.health.org.uk/about-the-health-foundation/our-people/policy-team/adam-briggs,NA,
Laura,Webber,PhD,Health Lumen,NA,NA,NA,"Co-investigator, knowledge user",active,https://www.csap.cam.ac.uk/network/laura-webber/,NA,
David,Moher,PhD,Ottawa Hospital Research Institute,University of Ottawa,NA,SAC Ex-officio member,Co-investigator,active,https://www.ohri.ca/profile/dmoher,NA,0000-0003-2434-4206
Thomas,Monks,NA,University of Exeter,NA,NA,NA,NA,NA,https://experts.exeter.ac.uk/19244-thomas-monks,NA,
Donald,Husereau,MSc,University of Ottawa,NA,NA,SAC Ex-officio member,NA,NA,https://www.uottawa.ca/faculty-medicine/donald-husereau,NA,0000-0002-4416-6876
Natasha,Stout,NA,CISNET,NA,NA,NA,NA,NA,https://surveillance.cancer.gov/about/bios/stoutn.html,NA,
John,Wong,NA,Annals of Internal Medicine,Tufts University,NA,NA,NA,NA,https://facultyprofiles.tufts.edu/john-wong,NA,
Peter,Scarborough,NA,University of Oxford,NA,NA,NA,NA,NA,https://www.phc.ox.ac.uk/team/peter-scarborough,NA,
James,Woodcock,NA,University of Cambridge,NA,NA,NA,NA,NA,https://www.mrc-epid.cam.ac.uk/people/james-woodcock/,NA,
Gary,Collins,NA,University of Oxford,NA,NA,NA,NA,NA,https://www.ndorms.ox.ac.uk/team/gary-collins,NA,
Eric,Benchimol,NA,SickKids,NA,NA,NA,NA,NA,https://www.sickkids.ca/en/staff/b/eric-benchimol/,NA,
Hendriek,Boshuizen,NA,Wageningen University & Research,NA,NA,NA,NA,NA,https://www.wur.nl/en/persons/hendriek-prof.dr.-hc-hendriek-boshuizen.htm,NA,
Abbygail,Jaccard,NA,UK Health Improvement and Disparities Policy Analysis,NA,NA,NA,NA,NA,https://www.linkedin.com/in/abbygailjaccard/?originalSubdomain=uk,NA,
Alan,Brennan,NA,University of Sheffield,NA,NA,NA,NA,NA,https://www.sheffield.ac.uk/smph/alan-brennan,NA,
Philippe,Liégeois,NA,IMA,NA,NA,NA,NA,NA,https://liser.elsevierpure.com/en/persons/philippe-li%C3%A9geois,NA,
Marko,Tainio,NA,Syke,NA,NA,NA,NA,NA,https://www.syke.fi/en-US/Experts/Marko_Tainio(51282),NA,
Michele,Cecchini,NA,OECD,NA,NA,NA,NA,NA,https://www.ehfg.org/biography/cecchini-michele,NA,
Martin,O'Flaherty,NA,University of Liverpool,NA,NA,NA,NA,NA,https://www.liverpool.ac.uk/people/martin-oflaherty,NA,
Gerrard,McCartney,NA,Public Health Observatory,NA,NA,NA,NA,NA,https://www.gla.ac.uk/schools/socialpolitical/staff/gerardmccartney/#biography,NA,
Elizabeth,Loder,NA,BMJ,Harvard University,NA,NA,NA,NA,https://www.bmj.com/about-bmj/editorial-staff/elizabeth-loder,NA,
Jocelyn,Dunstan,NA,Pontifical Catholic University of Chile,NA,NA,NA,NA,NA,https://sites.google.com/view/jdunstan/home,NA,
Peter,Fantke,NA,Technical University of Denmark,NA,NA,NA,NA,NA,https://orbit.dtu.dk/en/persons/peter-fantke,NA,
Clare,Stone,NA,PLOS (SSRN),NA,NA,NA,NA,NA,https://uk.linkedin.com/in/dr-clare-stone-87767b57,NA,
Audrey,Ceschia,PhD,The Lancet Public Health,NA,NA,SAC Member,NA,NA,https://www.thelancet.com/lanpub/about,NA,
Brian J.,Zikmund-Fisher,NA,Medical Decision Making,"University of Michigan, Ann Arbor",NA,NA,NA,NA,https://journals.sagepub.com/editorial-board/MDM,NA,
Lauren E.,Cipriano,NA,Medical Decision Making,University of Western Ontario,NA,NA,NA,NA,https://journals.sagepub.com/editorial-board/MDM,NA,
Orsolya,Varga,NA,"Journal of Health, Population and Nutrition",University of Debrecen,NA,NA,NA,NA,https://communities.springernature.com/posts/meet-the-editor-orsolya-varga-discusses-international-women-s-day-2024,NA,
Cristina,Cleghorn,NA,University of Otago,NA,NA,NA,NA,NA,https://www.otago.ac.nz/bms/expertise/profile?id=1726,NA,
Michael,Wolfson,NA,University of Ottawa,NA,NA,NA,NA,NA,https://www.uottawa.ca/faculty-medicine/dr-michael-wolfson,NA,
Hawre,Jalal,NA,University of Ottawa,NA,NA,NA,NA,NA,https://www.uottawa.ca/faculty-medicine/dr-hawre-jalal,NA,
Arya,Rahgozar,PhD,Ottawa Hospital Research Institute,University of Ottawa,NA,NA,Co-investigator,active,https://www.ohri.ca/profile/arahgozar,NA,0000-0002-2127-2449
Justin,Presseau,PhD,Ottawa Hospital Research Institute,University of Ottawa,NA,NA,Co-investigator,active,https://www.ohri.ca/profile/jpresseau,NA,0000-0002-2132-0703
